stem	best_diff	size	best_mode	draft
0809a484	202	464/472	-mthumb-immediate-latency	work/matches/m2c/0809a484.c
0801db70	207	480/440	-fsched-store-first	work/matches/m2c/0801db70.c
080912b8	218	458/474	-fno-schedule-insns2	work/matches/m2c/080912b8.c
080178b0	219	468/436	-fno-gcse	work/matches/m2c/080178b0.c
08094bbc	225	496/484	-fno-expensive-optimizations	work/matches/m2c/08094bbc.c
080b5368	227	468/460	BASE	work/matches/m2c/080b5368.c
0809c138	234	526/476	-fno-cse-two-insn-immediate	work/matches/m2c/0809c138.c
0801b664	238	490/428	-fno-strength-reduce	work/matches/m2c/0801b664.c
0801b810	242	488/408	-fno-gcse	work/matches/m2c/0801b810.c
08077d38	243	436/520	-fno-regmove,-fno-schedule-insns2	work/matches/m2c/08077d38.c
0808e9c0	243	608/596	-fno-gcse	work/matches/m2c/0808e9c0.c
0800b168	249	506/544	-fno-sched-depend-count	work/matches/m2c/0800b168.c
0809ae64	251	588/588	-fno-cse-two-insn-immediate,-fno-sched-depend-count	work/matches/m2c/0809ae64.c
0801a088	264	558/540	-fno-expensive-optimizations	work/matches/m2c/0801a088.c
08018cac	281	592/590	-fno-expensive-optimizations	work/matches/m2c/08018cac.c
080ba978	282	612/612	-fno-gcse	work/matches/m2c/080ba978.c
080dc1ec	284	632/616	-mhigh-register-move-first	work/hand/080dc1ec/080dc1ec.c
0808e23c	296	636/632	-fno-regmove,-fno-cse-two-insn-immediate	work/matches/m2c/0808e23c.c
080f07f0	296	568/620	-fno-gcse	work/matches/m2c/080f07f0.c
080ccc38	306	624/644	-fno-expensive-optimizations	work/matches/m2c/080ccc38.c
080ba2c0	333	724/708	-fno-gcse	work/matches/m2c/080ba2c0.c
080cd86c	339	720/696	-fno-regmove,-fno-expensive-optimizations	work/matches/m2c/080cd86c.c
080999f0	340	784/808	-fno-sched-depend-count	work/matches/m2c/080999f0.c
080cd594	363	764/728	-fno-regmove,-fno-expensive-optimizations	work/matches/m2c/080cd594.c
08098cd8	365	836/832	-fno-cse-pool-immediate	work/matches/m2c/08098cd8.c
080a5cc0	368	798/798	-fno-rerun-cse-after-loop	work/matches/m2c/080a5cc0.c
080cc5d8	382	840/904	-fno-sched-depend-count	work/matches/m2c/080cc5d8.c
08097c3c	388	848/836	-fno-gcse	work/matches/m2c/08097c3c.c
080a414c	414	892/832	-fno-gcse	work/matches/m2c/080a414c.c
